Transaction Date,Post Date,Description,Category,Type,Amount,Memo
6/30/2025,7/2/2025,GIOVANNI`S SHRIMP TRUCK,Food & Drink,Sale,-37.75,
6/30/2025,7/2/2025,PROPARK-HONOLULUZOO,Travel,Sale,-1.5,
7/1/2025,7/2/2025,91263 - INTERNATIONAL MAR,Travel,Sale,-12,
7/1/2025,7/2/2025,PROPARK-HONOLULUZOO,Travel,Sale,-1.5,
7/1/2025,7/2/2025,SQ *BANH MI STREET CAFE,Food & Drink,Sale,-103.73,
6/30/2025,7/2/2025,PROPARK-HONOLULUZOO,Travel,Sale,-1.5,
7/2/2025,7/2/2025,SNACK* TIGER SUGAR HON,Food & Drink,Sale,-6.43,
6/30/2025,7/2/2025,EGGS N THINGS-WAIKIKI KAL,Food & Drink,Sale,-93.03,
7/1/2025,7/2/2025,DOLE PLANTATION,Food & Drink,Sale,-32.25,
6/30/2025,7/2/2025,GIOVANNI`S SHRIMP TRUCK,Food & Drink,Sale,-37.75,
6/30/2025,7/1/2025,PROPARK-HONOLULUZOO,Travel,Sale,-16.5,
6/29/2025,7/1/2025,PROPARK-HONOLULUZOO,Travel,Sale,-6,
6/29/2025,7/1/2025,TST*DECK.,Food & Drink,Sale,-24.09,
6/30/2025,7/1/2025,DOLE PLANTATION,Entertainment,Sale,-21.88,
6/30/2025,7/1/2025,PAR*MARUGAME UDON - WAIKI,Food & Drink,Sale,-62.48,
6/29/2025,7/1/2025,UEP*TIGER SUGAR,Food & Drink,Sale,-7.51,
6/29/2025,7/1/2025,ME BAR B QUE,Food & Drink,Sale,-27.11,
6/29/2025,6/30/2025,PROPARK-HONOLULUZOO,Travel,Sale,-16.5,
6/29/2025,6/30/2025,SQ *BANH MI STREET CAFE,Food & Drink,Sale,-21.96,
6/29/2025,6/30/2025,PROPARK-HONOLULUZOO,Travel,Sale,-1.5,
6/28/2025,6/30/2025,THE HOME DEPOT #6663,Home,Sale,-57.91,
6/26/2025,6/29/2025,THE HOME DEPOT #6663,Home,Sale,-123.72,
6/26/2025,6/27/2025,ATT* BILL PAYMENT,Bills & Utilities,Sale,-168.84,
6/18/2025,6/22/2025,AT&amp;T DEVICE/EQUIP SHIP,Shopping,Sale,-378,
6/17/2025,6/18/2025,TANTAWAN THAI KITCHEN,Food & Drink,Sale,-105,
6/15/2025,6/16/2025,WAL-MART #3522,Groceries,Sale,-5.06,
6/15/2025,6/16/2025,KING TACO 18,Food & Drink,Sale,-46.24,
6/14/2025,6/16/2025,COSTCO TRAVEL,Travel,Sale,-1217.78,
6/9/2025,6/10/2025,WINGSTOP 349,Food & Drink,Sale,-20.5,
6/7/2025,6/8/2025,GW SUPERMARKET,Groceries,Sale,-57.08,
5/30/2025,6/3/2025,PHO ANVI - WEST COVINA,Food & Drink,Sale,-60.82,
6/1/2025,6/3/2025,3605 EL POLLO LOCO,Food & Drink,Sale,-3.69,
6/1/2025,6/2/2025,MCDONALD'S F16753,Food & Drink,Sale,-13,
5/31/2025,6/2/2025,HAWAII SUPERMARKET,Groceries,Sale,-210.35,
6/1/2025,6/2/2025,CTLP*CSC ServiceWorks,Automotive,Sale,-2.5,
6/1/2025,6/1/2025,ANNUAL MEMBERSHIP FEE,Fees & Adjustments,Fee,-95,
5/27/2025,5/29/2025,HYATT GRAND CENTRAL F&amp;B,Food & Drink,Sale,-6.26,
5/26/2025,5/28/2025,NAN XIANG XIAO LONG BAO,Food & Drink,Sale,-84.41,
5/25/2025,5/27/2025,MTA*NYCT PAYGO,Travel,Sale,-2.9,
5/26/2025,5/27/2025,MOKBAR,Food & Drink,Sale,-11.98,
5/26/2025,5/27/2025,MTA*NYCT PAYGO,Travel,Sale,-2.9,
5/26/2025,5/27/2025,MTA*NYCT PAYGO,Travel,Sale,-2.9,
5/25/2025,5/27/2025,ANDYS DELI,Groceries,Sale,-6.23,
5/26/2025,5/27/2025,MTA*NYCT PAYGO,Travel,Sale,-2.9,
5/26/2025,5/27/2025,MOKBAR,Food & Drink,Sale,-17.42,
5/25/2025,5/27/2025,MTA*NYCT PAYGO,Travel,Sale,-2.9,
5/25/2025,5/27/2025,LUKE'S LOBSTER - GCT,Food & Drink,Sale,-11,
5/25/2025,5/27/2025,MTA*NYCT PAYGO,Travel,Sale,-2.9,
5/26/2025,5/27/2025,MTA*NYCT PAYGO,Travel,Sale,-2.9,
5/24/2025,5/26/2025,MTA*NYCT PAYGO,Travel,Sale,-2.9,
5/24/2025,5/26/2025,MTA*NYCT PAYGO,Travel,Sale,-2.9,
5/24/2025,5/26/2025,FRESH FOOD CENTER,Groceries,Sale,-4.16,
5/25/2025,5/26/2025,TST*DAGG THAI,Food & Drink,Sale,-138.04,
5/26/2025,5/26/2025,CAPHE EN,Food & Drink,Sale,-8.6,
5/24/2025,5/26/2025,MTA*NYCT PAYGO,Travel,Sale,-2.9,
5/25/2025,5/26/2025,MTA*NYCT PAYGO,Travel,Sale,-2.9,
5/24/2025,5/26/2025,MTA*NYCT PAYGO,Travel,Sale,-2.9,
5/24/2025,5/26/2025,MTA*NYCT PAYGO,Travel,Sale,-2.9,
5/25/2025,5/26/2025,MTA*NYCT PAYGO,Travel,Sale,-2.9,
5/23/2025,5/25/2025,MTA*NYCT PAYGO,Travel,Sale,-2.9,
5/24/2025,5/25/2025,MTA*NYCT PAYGO,Travel,Sale,-2.9,
5/23/2025,5/25/2025,DUNKIN #364912,Food & Drink,Sale,-5.06,
5/24/2025,5/25/2025,LYFT   *RIDE FRI 7PM,Travel,Sale,-8.99,
5/25/2025,5/25/2025,LYFT   *1 RIDE 05-23,Travel,Sale,-9.7,
5/24/2025,5/25/2025,BURP BOWL,Food & Drink,Sale,-61.3,
5/23/2025,5/25/2025,UBER   *TRIP,Travel,Sale,-16.95,
5/23/2025,5/25/2025,SQ *NEWARK UNI,Shopping,Sale,-33.02,
5/21/2025,5/23/2025,TANOSHII RAMEN.,Food & Drink,Sale,-37,
5/22/2025,5/23/2025,SAM'S BAGEL,Food & Drink,Sale,-3.96,
5/22/2025,5/23/2025,Dun Huang,Food & Drink,Sale,-81.04,
5/21/2025,5/22/2025,BROS BEST PRODUCE CORP,Groceries,Sale,-2.15,
5/11/2025,5/12/2025,JACK IN THE BOX 5303,Food & Drink,Sale,-4.41,
5/10/2025,5/11/2025,VITA CANE,Food & Drink,Sale,-8.75,
5/10/2025,5/11/2025,TST* BURNING BRIDGE BREWI,Food & Drink,Sale,-8.78,
